日期,PM2.5分指数,PM10分指数,O3分指数,SO2分指数,NO2分指数,CO分指数,AQI,质量评价,首要污染物
135,2014-10-27,60,62,48,11,43,16,62,良,PM10
136,2014-10-26,77,64,83,16,70,19,83,良,O3
137,2014-10-25,39,49,76,11,49,14,76,良,O3
138,2014-10-24,42,52,74,11,55,15,74,良,O3
139,2014-10-23,55,57,61,11,67,18,67,良,NO2
140,2014-10-22,62,59,58,11,43,18,62,良,PM2.5
141,2014-10-21,94,75,38,19,67,25,94,良,PM2.5
142,2014-10-20,77,72,111,16,67,21,111,轻度污染,O3
143,2014-10-19,32,48,64,9,33,14,64,良,O3
144,2014-10-18,23,39,53,9,40,15,53,良,O3
145,2014-10-17,29,51,50,12,57,15,57,良,NO2
146,2014-10-16,135,96,85,30,102,29,135,轻度污染,PM2.5
147,2014-10-15,128,95,90,43,106,31,128,轻度污染,PM2.5
148,2014-10-14,58,69,57,28,64,22,69,良,PM10
149,2014-10-13,42,69,43,15,35,16,69,良,PM10
150,2014-10-12,43,60,70,11,20,15,70,良,O3
151,2014-10-11,46,53,55,11,29,16,55,良,O3
152,2014-10-10,43,51,84,13,37,17,84,良,O3
153,2014-10-09,35,43,72,12,48,17,72,良,O3
154,2014-10-08,32,43,63,12,47,17,63,良,O3
155,2014-10-07,40,49,75,12,44,19,75,良,O3
156,2014-10-06,52,55,72,13,30,20,72,良,O3
157,2014-10-05,42,55,72,13,30,19,72,良,O3
158,2014-10-04,23,41,70,12,25,14,70,良,O3
159,2014-10-03,67,56,80,15,30,20,80,良,O3
160,2014-10-02,74,69,122,22,57,24,122,轻度污染,O3
161,2014-10-01,29,46,55,13,38,14,55,良,O3
162,2014-09-30,28,33,54,9,28,16,54,良,O3
163,2014-09-29,77,66,60,17,52,24,77,良,PM2.5
164,2014-09-28,29,36,66,9,29,15,66,良,O3
165,2014-09-27,54,47,71,10,38,18,71,良,O3
166,2014-09-26,77,60,90,11,47,20,90,良,O3
167,2014-09-25,65,60,93,13,63,20,93,良,O3
168,2014-09-24,38,36,35,11,49,19,49,优,-
169,2014-09-23,20,16,18,9,33,17,33,优,-
170,2014-09-22,22,34,54,9,22,12,54,良,O3
171,2014-09-21,19,29,63,11,27,12,63,良,O3
172,2014-09-20,73,55,50,20,63,24,73,良,PM2.5
173,2014-09-19,55,53,32,14,82,23,82,良,NO2
174,2014-09-18,29,35,44,11,48,16,48,优,-
175,2014-09-17,28,40,53,12,34,13,53,良,O3
176,2014-09-16,42,46,70,11,35,15,70,良,O3
177,2014-09-15,22,30,52,10,28,12,52,良,O3
178,2014-09-14,22,35,46,9,25,13,46,优,-
179,2014-09-13,22,19,43,9,35,14,43,优,-
180,2014-09-12,30,45,52,11,45,16,52,良,O3
181,2014-09-11,22,37,74,12,37,14,74,良,O3
182,2014-09-10,62,57,60,13,37,18,62,良,PM2.5
183,2014-09-09,48,45,64,11,30,15,64,良,O3
184,2014-09-08,54,46,80,13,38,17,80,良,O3
185,2014-09-07,46,43,73,11,37,16,73,良,O3
186,2014-09-06,57,51,80,12,35,17,80,良,O3
187,2014-09-05,100,65,120,12,40,23,120,轻度污染,O3
188,2014-09-04,142,84,135,30,60,34,142,轻度污染,PM2.5
189,2014-09-03,64,51,45,15,64,27,64,良,PM2.5
190,2014-09-02,73,60,96,16,52,21,96,良,O3
191,2014-09-01,50,46,52,11,42,18,52,良,O3
192,2014-08-31,30,37,44,9,35,14,44,优,-
193,2014-08-30,26,29,48,10,38,13,48,优,-
194,2014-08-29,57,48,33,13,68,24,68,良,NO2
195,2014-08-28,54,54,53,12,45,16,54,良,PM2.5
196,2014-08-27,52,47,47,12,58,18,58,良,NO2
197,2014-08-26,78,58,84,14,50,23,84,良,O3
198,2014-08-25,84,65,95,17,48,27,95,良,O3
199,2014-08-24,84,67,122,19,48,21,122,轻度污染,O3
200,2014-08-23,70,56,74,13,47,18,74,良,O3
201,2014-08-22,58,41,60,11,39,16,60,良,O3
202,2014-08-21,79,59,114,17,62,25,114,轻度污染,O3
203,2014-08-20,32,24,35,10,65,21,65,良,NO2
204,2014-08-19,29,22,38,10,68,20,68,良,NO2
205,2014-08-18,59,43,25,13,67,26,67,良,NO2
